OFFICE,PROPERTY_ADDRESS,CITY,STATE,ZIP_POSTAL_CODE,ACTUAL_CLOSE_DATE,SALES_ID
0001,13056 Brookside Drive,Bellevue,NE,68123,1/18/2022,343
0001,1318 Thomas Drive,Bellevue,NE,68005,4/12/2022,10043
0005,13206 South 33rd Street,Bellevue,NE,68123,4/15/2022,95
0005,13210 33rd Street,Bellevue,NE,68123,7/13/2022,296
0005,1324 Franklin Street,Bellevue,NE,68005,3/31/2022,376
0004,1326 Hancock Street,Bellevue,NE,68005,5/18/2022,262
0003,1330 Franklin Street,Bellevue,NE,68005,9/30/2022,10056
0004,13308 South 34th,Bellevue,NE,68123,8/22/2022,262
0005,13406 S 44th Street,Bellevue,NE,68123,5/12/2022,335
0005,13406 S 44th Street,Bellevue,NE,68123,5/12/2022,95
0004,13408 South 22nd Street,Bellevue,NE,68123,11/7/2022,530
0004,13416 South 34th Street,Bellevue,NE,68123,4/29/2022,74
0005,13510 S 34th Street,Bellevue,NE,68123,7/6/2022,376
0005,13517 South 55th Street,Bellevue,NE,68133,8/5/2022,173
0005,13541 South 55th Street,Bellevue,NE,68133,6/14/2022,296
0005,13610 South 42nd Circle,Bellevue,NE,68123,6/14/2022,296
0005,13611 S 51st Circle,Bellevue,NE,68133,12/2/2022,333
0005,13613 South 14th Street,Bellevue,NE,68123,12/12/2022,10002
0005,13704 S 41st Street,Bellevue,NE,68123,12/9/2022,309
0005,13707 S 46th Street,Bellevue,NE,68133,6/23/2022,333
0005,13707 S 46th Street,Bellevue,NE,68133,6/23/2022,316
0005,13717 South 42nd Ave,Bellevue,NE,68123,12/5/2022,296
0001,13801 S 18th Street,Bellevue,NE,68123,7/7/2022,399
0004,13807 South 42nd Avenue,Bellevue,NE,68123,11/30/2022,434
0003,13811 South 41st Street,Bellevue,NE,68123,11/18/2022,478
0005,13903 S 44th Street,Bellevue,NE,68123,4/15/2022,296
0004,13906 Kelly Drive,Bellevue,NE,68123,8/15/2022,530
0001,13907 S 28 Avenue Circle,Bellevue,NE,68123,9/2/2022,269
0005,13910 Kelly Drive,Bellevue,NE,68123,6/30/2022,520
0001,14002 Tregaron Ridge Avenue Unit B,Bellevue,NE,68123,1/28/2022,10036
0001,14002 Tregaron Ridge Avenue Unit B,Bellevue,NE,68123,1/28/2022,513
0001,14007 Kelly Drive,Bellevue,NE,68123,10/7/2022,10059
0003,1401 Englewood Drive,Bellevue,NE,68005,12/29/2022,556
0001,1403 Cascio Drive,Bellevue,NE,68005,6/1/2022,10015
0005,1403 Georgia Avenue,Bellevue,NE,68147,10/7/2022,223
0004,1404 Thomas Drive,Bellevue,NE,68005,2/8/2022,486
0004,1404 Thomas Drive,Bellevue,NE,68005,2/8/2022,10052
0005,1405 Cascio Dr.,Bellevue,NE,68005,5/2/2022,262
0005,1405 Cascio Dr.,Bellevue,NE,68005,5/2/2022,95
0005,14302 South 31st Street,Bellevue,NE,68123,6/22/2022,223
0004,14312 South 35th Street,Bellevue,NE,68123,1/28/2022,394
0005,14318 S 20th Street,Bellevue,NE,68123,1/7/2022,296
0005,14320 Tregaron Drive,Bellevue,NE,68123,3/4/2022,104
0005,14320 Tregaron Drive,Bellevue,NE,68123,3/4/2022,73
0005,14510 South 22nd Street,Bellevue,NE,68123,12/2/2022,223
0004,14514 South 20th Street,Bellevue,NE,68123,7/15/2022,10052
0004,14611 S 24th St,Bellevue,NE,68123,4/1/2022,10059
0005,14706 South 23rd Street,Bellevue,NE,68123,9/7/2022,333
0005,14802 S 24th St,Bellevue,NE,68123,4/1/2022,224
0005,14802 S 24th St,Bellevue,NE,68123,4/1/2022,224
0005,14807 South 20th Street,Bellevue,NE,68123,7/22/2022,333
0001,14902 Normandy Boulevard,Bellevue,NE,68123,7/8/2022,446
0005,14903 S 22nd St,Bellevue,NE,68123,6/6/2022,333
0005,14904 S 22nd St,Bellevue,NE,68123,6/15/2022,333
0005,14904 S 22nd St,Bellevue,NE,68123,6/15/2022,333
0001,14904 South 23rd Street,Bellevue,NE,68123,6/17/2022,224
0005,14905 South 22nd Street,Bellevue,NE,68123,6/13/2022,493
0001,15006 South 19th Street,Bellevue,NE,68123,9/30/2022,262
0005,15009 Eureux Street,Bellevue,NE,68123,4/5/2022,332
0005,15009 Eureux Street,Bellevue,NE,68123,4/5/2022,223
0003,1507 Madison Street,Bellevue,NE,68005,11/4/2022,10056
0003,1514 N 9th st,Bellevue,NE,68005,4/8/2022,168
0003,1608 Old Gaelic St,Bellevue,NE,68123,8/31/2022,10056
0003,1608 Washington Street,Bellevue,NE,68005,1/4/2022,10055
0005,1609 Pelton Avenue,Bellevue,NE,68005,7/5/2022,10002
0004,16503 Main Street,Bellevue,NE,68123,2/11/2022,262
0005,1704 Pelton Avenue,Bellevue,NE,68005,11/15/2022,376
0001,1706 Warren Street,Bellevue,NE,68005,4/27/2022,92
0005,1707 Avery Road,Bellevue,NE,68005,8/19/2022,184
0005,1901 Mayflower Road,Bellevue,NE,68123,7/1/2022,296
0004,1903 La Platte Road,Bellevue,NE,68123,5/16/2022,281
0001,1905 Arlington Circle,Bellevue,NE,68123,7/13/2022,173
0003,1907 Mesa Street,Bellevue,NE,68123,11/23/2022,10061
0005,1909 Yorktown Street,Bellevue,NE,68123,6/17/2022,493
0004,2003 Hummingbird Drive,Bellevue,NE,68123,4/15/2022,262
0005,2005 Crawford Street,Bellevue,NE,68005,3/21/2022,353
0005,2006 Greenwald Street,Bellevue,NE,68123,9/12/2022,316
0005,2007 Meadowlark Ln,Bellevue,NE,68123,9/1/2022,333
0001,2010 Raven Ridge Drive,Bellevue,NE,68123,8/9/2022,92
0001,2011 Whitted Drive,Bellevue,NE,68123,10/27/2022,335
0001,2011 Whitted Drive,Bellevue,NE,68123,10/27/2022,316
0001,202 Forest Drive,Bellevue,NE,68005,12/16/2022,66
0005,2020 Hummingbird Drive,Bellevue,NE,68123,7/13/2022,334
0004,2023 Calhoun Street,Bellevue,NE,68005,6/16/2022,370
0003,206 Marian Avenue,Bellevue,NE,68005,11/7/2022,10023
0005,2105 Jefferson Street,Bellevue,NE,68005,10/21/2022,333
0001,2106 Lucille Drive,Bellevue,NE,68147,2/22/2022,514
0004,2107 Whitted Drive,Bellevue,NE,68123,11/30/2022,74
0005,2108 Raven Ridge Drive,Bellevue,NE,68123,9/30/2022,10002
0005,2108 Raven Ridge Drive,Bellevue,NE,68123,9/30/2022,499
0005,2108 Turtle Dove Drive,Bellevue,NE,68123,5/20/2022,333
0004,211 Bellevue Blvd N,Bellevue,NE,68005,1/21/2022,382
0004,211 Bellevue Boulevard North,Bellevue,NE,68005,3/4/2022,382
0001,2110 Leisure Lane,Bellevue,NE,68005,10/7/2022,10043
0005,216 Douglas Drive,Bellevue,NE,68005,10/7/2022,296
0005,216 Douglas Drive,Bellevue,NE,68005,10/7/2022,223
0001,2203 Coventry Drive,Bellevue,NE,68123,4/21/2022,444
0005,2210 Lola Circle,Bellevue,NE,68148,2/4/2022,488
0004,2217 Joyce Circle,Bellevue,NE,68005,5/18/2022,529
0005,2301 Middletown,Bellevue,NE,68123,6/7/2022,296
0005,2303 Coventry Dr,Bellevue,NE,68123,6/13/2022,333
0004,2308 Circletown Place,Bellevue,NE,68123,5/9/2022,262
0005,2308 Clay Street,Bellevue,NE,68005,6/1/2022,223
0001,2308 Denise Circle,Bellevue,NE,68005,4/29/2022,92
0001,2350 Olive Street,Bellevue,NE,68147,8/5/2022,376
0005,2411 Hogantown Drive,Bellevue,NE,68123,5/27/2022,10002
0005,2414 Yorktown Place,Bellevue,NE,68123,3/17/2022,376
0001,2502 Main Street,Bellevue,NE,68005,9/9/2022,10015
0001,2508 Alberta Avenue,Bellevue,NE,68147,7/7/2022,384
0001,2510 Casey Circle,Bellevue,NE,68123,6/30/2022,253
0001,2514 Linda Street,Bellevue,NE,68147,5/27/2022,10002
0005,2516 Nottingham Drive,Bellevue,NE,68123,12/12/2022,376
0001,2517 Jack Pine Street,Bellevue,NE,68123,3/14/2022,283
0005,2518 Cornelia Street,Bellevue,NE,68147,8/30/2022,332
0001,2524 Mose Avenue,Bellevue,NE,68147,1/28/2022,92
0003,2532 Lillian Street,Bellevue,NE,68147,6/29/2022,170
0004,2532 Mose Avenue,Bellevue,NE,68147,10/31/2022,160
0004,2535 Van Buren Street,Bellevue,NE,68005,6/17/2022,518
0005,2603 Hogantown Drive,Bellevue,NE,68123,4/6/2022,316
0001,2603 Raven Ridge Drive,Bellevue,NE,68123,10/21/2022,316
0001,2613 Gindy Drive,Bellevue,NE,68147,4/4/2022,10028
0001,2623 Greene Avenue,Bellevue,NE,68147,2/2/2022,160
0005,2701 Josephine Street,Bellevue,NE,68147,3/25/2022,332
0004,2703 Georgia Avenue,Bellevue,NE,68147,4/15/2022,224
0001,2704 Fairview Street,Bellevue,NE,68147,10/31/2022,316
0001,2704 Michaela Street,Bellevue,NE,68123,5/27/2022,10045
0004,2710 Franklin Street,Bellevue,NE,68005,7/15/2022,83
0001,2713 Edwards Street,Bellevue,NE,68005,5/12/2022,335
0004,2714 Annabelle Drive,Bellevue,NE,68123,6/13/2022,160
0001,2718 Emiline Street,Bellevue,NE,68147,5/31/2022,262
0005,2721 Joann Avenue,Bellevue,NE,68123,4/25/2022,493
0005,2722 Lloyd Street,Bellevue,NE,68005,9/30/2022,536
0004,2806 Hunter Drive,Bellevue,NE,68123,6/17/2022,241
0001,2810 Courtney Circle,Bellevue,NE,68123,10/21/2022,316
0001,2815 Greensboro Ave,Bellevue,NE,68005,6/30/2022,10050
0001,2832 Lillian Street,Bellevue,NE,68147,9/29/2022,92
0005,2901 Redwing Circle,Bellevue,NE,68123,8/5/2022,197
0005,2906 Bar Harbor Drive,Bellevue,NE,68123,7/7/2022,224
0001,2906 Blackhawk Dr.,Bellevue,NE,68123,8/11/2022,10036
0001,2906 Blackhawk Dr.,Bellevue,NE,68123,8/11/2022,492
0005,2939 Lone Tree Rd,Bellevue,NE,68123,4/29/2022,333
0005,3006 Leawood Drive,Bellevue,NE,68123,10/14/2022,520
0001,3006 Leawood Drive,Bellevue,NE,68123,7/15/2022,520
0005,3009 Vicki Circle,Bellevue,NE,68005,8/22/2022,95
0005,3012 Tammy Street,Bellevue,NE,68123,2/25/2022,296
0005,305 Marian Avenue,Bellevue,NE,68005,5/20/2022,223
0005,305 Oakridge Court,Bellevue,NE,68005,7/20/2022,335
0001,307 West 19th Avenue,Bellevue,NE,68005,6/1/2022,104
0003,309 W 28th Avenue,Bellevue,NE,68005,6/30/2022,10023
0003,309 W 28th Avenue,Bellevue,NE,68005,6/30/2022,380
0001,310 Fawn Court,Bellevue,NE,68005,5/27/2022,387
0001,3108 Sheridan Road,Bellevue,NE,68123,9/13/2022,316
0005,3112 Chad Street,Bellevue,NE,68123,5/24/2022,316
0005,3112 Jason Circle,Bellevue,NE,68123,7/6/2022,376
0005,3112 Jason Circle,Bellevue,NE,68123,7/6/2022,296
0001,3119 Coffey Avenue,Bellevue,NE,68123,2/25/2022,303
0005,32 Martinview Road,Bellevue,NE,68005,9/22/2022,184
0005,3208 Lookingglass Dr,Bellevue,NE,68123,3/1/2022,184
0005,3308 Granada Parkway,Bellevue,NE,68123,6/10/2022,493
0005,3308 Jessie Marie Drive,Bellevue,NE,68123,9/16/2022,224
0005,3318 Jason Drive,Bellevue,NE,68123,7/1/2022,224
0001,3341 Harrison Street,Bellevue,NE,68147,7/25/2022,438
0001,3345 Harrison Street,Bellevue,NE,68147,7/27/2022,399
0001,3406 Comstock Avenue,Bellevue,NE,68123,4/20/2022,226
0005,3406 Henery Road,Bellevue,NE,68123,10/14/2022,335
0005,3407 Henery Road,Bellevue,NE,68123,7/6/2022,224
0005,3503 Sheridan Circle,Bellevue,NE,68123,7/1/2022,318
0001,3513 Comstock Avenue,Bellevue,NE,68123,7/5/2022,10015
0001,3515 Comstock Avenue,Bellevue,NE,68123,7/1/2022,318
0001,3515 Comstock Avenue,Bellevue,NE,68123,7/1/2022,223
0004,3710 Groves Road,Bellevue,NE,68048,3/14/2022,490
0005,3717 Leawood Drive,Bellevue,NE,68123,4/15/2022,296
0005,3717 Leawood Drive,Bellevue,NE,68123,4/15/2022,296
0005,3720 Gayle Avenue,Bellevue,NE,68123,4/7/2022,10002
0003,3720 Greene Avenue,Bellevue,NE,68147,2/1/2022,70
0004,3720 Pinehill Road,Bellevue,NE,68123,11/23/2022,262
0001,3805 Joann Avenue,Bellevue,NE,68123,6/3/2022,513
0004,4003 Fox Ridge Circle,Bellevue,NE,68123,8/25/2022,520
0004,4003 Fox Ridge Circle,Bellevue,NE,68123,8/25/2022,97
0001,407 W 27th Avenue,Bellevue,NE,68005,4/11/2022,438
0001,409 West 30th Avenue,Bellevue,NE,68005,3/2/2022,10026
0004,410 West 29th Avenue,Bellevue,NE,68005,3/17/2022,262
0004,4102 Heartland Drive,Bellevue,NE,68123,9/28/2022,10052
0004,4152 High Meadow Lane,Bellevue,NE,68147,6/16/2022,362
0001,4214 Barksdale Drive,Bellevue,NE,68123,3/15/2022,83
0003,4301 Waterford Avenue,Bellevue,NE,68123,8/12/2022,303
0004,4310 Amos Gates Drive,Bellevue,NE,68123,5/23/2022,473
0004,4310 Amos Gates Drive,Bellevue,NE,68123,5/23/2022,474
0001,4311 Longview Street,Bellevue,NE,68133,11/22/2022,514
0001,4311 Longview Street,Bellevue,NE,68133,11/22/2022,399
0005,4405 Edgerton Drive,Bellevue,NE,68123,4/26/2022,335
0001,4405 Leawood Drive,Bellevue,NE,68123,4/20/2022,81
0003,4409 Brook Street,Bellevue,NE,68123,2/15/2022,10056
0003,4409 Brook Street,Bellevue,NE,68123,2/15/2022,10056
0003,4416 Victoria Ave,Bellevue,NE,68123,12/16/2022,10045
0001,4434 Leawood Drive,Bellevue,NE,68133,5/12/2022,223
0001,4460 Leawood Drive,Bellevue,NE,68123,6/30/2022,184
0001,4609 Borman Street,Bellevue,NE,68157,8/5/2022,208
0001,4658 Schroeder Drive,Bellevue,NE,68157,7/15/2022,10043
0003,4813 Lillian,Bellevue,NE,68157,11/10/2022,70
0001,5017 White Cloud Drive,Bellevue,NE,68157,3/24/2022,10056
0001,5017 White Cloud Drive,Bellevue,NE,68157,3/24/2022,323
0004,603 W 14th Avenue,Bellevue,NE,68005,8/25/2022,531
0001,610 Louisiane Circle,Bellevue,NE,68005,1/14/2022,10055
0001,7004 S 41st Ave,Bellevue,NE,68147,12/16/2022,10036
0005,702 Terrace Avenue,Bellevue,NE,68005,6/15/2022,224
0005,703 Lila Avenue,Bellevue,NE,68005,9/30/2022,197
0003,708 Garden Avenue,Bellevue,NE,68005,9/9/2022,474
0001,710 Garden Avenue,Bellevue,NE,68005,9/16/2022,10020
0003,7113 S 49th Ave Cir,Bellevue,NE,68157,6/30/2022,10045
0003,7113 S 49th Ave Cir,Bellevue,NE,68157,6/30/2022,333
0005,7124 Sarpy Avenue,Bellevue,NE,68147,6/15/2022,224
0005,7124 Sarpy Avenue,Bellevue,NE,68147,6/15/2022,92
0001,718 Cedar View Ln,Bellevue,NE,68123,10/3/2022,438
0001,7316 Chandler Acres Drive,Bellevue,NE,68147,11/2/2022,399
0001,7502 Sarpy Avenue,Bellevue,NE,68147,7/22/2022,548
0001,7502 Sarpy Avenue,Bellevue,NE,68147,7/22/2022,92
0001,7515 Ira Circle,Bellevue,NE,68147,7/11/2022,530
0001,7515 Ira Circle,Bellevue,NE,68147,7/11/2022,92
0001,7620 S 25th St,Bellevue,NE,68147,12/9/2022,10050
0004,7706 S 30th St,Bellevue,NE,68147,1/14/2022,74
0003,7801-7803 S 30th St,Bellevue,NE,68147,9/9/2022,70
0001,7802 S 24th St,Bellevue,NE,68147,3/16/2022,426
0005,7902 South 22nd Avenue,Bellevue,NE,68147,11/29/2022,10002
0004,804 Vannornam Drive,Bellevue,NE,68005,6/14/2022,370
0001,805 Vannornam Dr,Bellevue,NE,68005,8/26/2022,166
0001,807 Moore Drive,Bellevue,NE,68005,10/5/2022,316
0001,8909 S 23rd Street,Bellevue,NE,68147,6/22/2022,226
0003,9006 Lee Circle,Bellevue,NE,68147,12/15/2022,289
0001,906 Avery Rd,Bellevue,NE,68123,12/9/2022,548
0001,910 Hickory Circle,Bellevue,NE,68005,9/9/2022,66
0004,910 Kohl Circle,Bellevue,NE,68005,10/14/2022,219
0001,910 Thurston Avenue,Bellevue,NE,68123,5/16/2022,262
0001,9601 S 26th Street,Bellevue,NE,68147,8/22/2022,548
0001,9608 South 26th Ave,Bellevue,NE,68147,7/15/2022,237
0001,9608 South 28th Avenue,Bellevue,NE,68147,12/7/2022,316
0005,9609 South 22nd Avenue,Bellevue,NE,68147,8/29/2022,335
0001,9714 Linden Avenue,Bellevue,NE,68123,5/20/2022,417
0004,11057 North 171st Street,Bennington,NE,68007,10/27/2022,64
0001,11907 N 158th St,Bennington,NE,68007,9/20/2022,400
0001,11918 N 176th Circle,Bennington,NE,68007,6/30/2022,370
0001,11918 N 176th Circle,Bennington,NE,68007,6/30/2022,240
0001,12407 North 161st Avenue,Bennington,NE,68007,8/19/2022,417
0004,12513 North 161st Avenue,Bennington,NE,68007,6/24/2022,74
0004,14487 Wyoming Street,Bennington,NE,68007,5/27/2022,10052
0005,14562 Mormon Street,Bennington,NE,68007,12/9/2022,161
0001,14624 Craig Street,Bennington,NE,68007,4/25/2022,287
0005,14764 Leeman Street,Bennington,NE,68007,7/11/2022,296
0001,14826 Wild Indigo Street,Bennington,NE,68007,6/2/2022,535
0003,14850 Hanover Street,Bennington,NE,68007,3/7/2022,350
0001,15224 Vane Street,Bennington,NE,68007,9/15/2022,384
0001,15324 N 2nd Street,Bennington,NE,68007,4/14/2022,453
0001,15324 N 2nd Street,Bennington,NE,68007,4/14/2022,417
0001,15406 Fillmore Circle,Bennington,NE,68007,8/29/2022,237
0004,15658 Rosewater Parkway,Bennington,NE,68007,11/22/2022,434
0004,15658 Rosewater Parkway,Bennington,NE,68007,11/22/2022,382
0004,15663 Sheffield Circle,Bennington,NE,68007,7/29/2022,89
0004,15821 N 2nd St,Bennington,NE,68007,9/9/2022,160
0001,15958 Young Street,Bennington,NE,68007,7/15/2022,74
0004,16008 Weber Street,Bennington,NE,68007,6/1/2022,394
0004,16009 Weber Street,Bennington,NE,68007,2/23/2022,394
0004,16014 Potter Street,Bennington,NE,68007,7/29/2022,533
0004,16014 Potter Street,Bennington,NE,68007,7/29/2022,262
0001,16031 Whitmore Street,Bennington,NE,68007,6/24/2022,89
0005,16172 Sunflower Street,Bennington,NE,68007,5/11/2022,394
0005,16172 Sunflower Street,Bennington,NE,68007,5/11/2022,296
0005,16283 Reynolds Street,Bennington,NE,68007,4/29/2022,381
0001,16388 Mormon Street,Bennington,NE,68007,7/15/2022,10036
0001,16522 Hanover,Bennington,NE,68007,7/11/2022,10018
0003,16617 Vane Street,Bennington,NE,68007,4/1/2022,10056
0004,17007 Potter Street,Bennington,NE,68007,7/8/2022,89
0001,17014 Isabella St.,Bennington,NE,68007,5/4/2022,10036
0004,17023 Isabella Street,Bennington,NE,68007,3/3/2022,89
0004,17100 Clay Street,Bennington,NE,68007,10/31/2022,10059
0004,17143 Potter Street,Bennington,NE,68007,8/25/2022,89
0004,17202 Sarah Street,Bennington,NE,68007,1/20/2022,279
0004,17205 Sarah Street,Bennington,NE,68007,7/8/2022,89
0005,17237 Bondesson Street,Bennington,NE,68007,4/22/2022,376
0003,17387 Reynolds Street,Bennington,NE,68007,1/31/2022,170
0001,17410 Clay Street,Bennington,NE,68007,7/8/2022,10056
0001,17502 Clay Street,Bennington,NE,68046,11/1/2022,530
0001,17502 Clay Street,Bennington,NE,68046,11/1/2022,161
0001,17507 Tucker Street,Bennington,NE,68007,8/12/2022,161
0001,17511 Tucker Street,Bennington,NE,68007,8/3/2022,161
0005,17519 Tucker Street,Bennington,NE,68007,8/5/2022,281
0005,17519 Tucker Street,Bennington,NE,68007,8/5/2022,161
0004,17520 Clay Street,Bennington,NE,68007,5/10/2022,161
0001,17527 Tucker Street,Bennington,NE,68007,9/2/2022,161
0001,17546 Samuel St,Bennington,NE,68007,10/12/2022,161
0001,17546 Samuel St,Bennington,NE,68007,10/12/2022,161
0001,17602 Clay Street,Bennington,NE,68007,7/26/2022,161
0001,17602 Clay Street,Bennington,NE,68007,7/26/2022,161
0004,17605 Tucker Street,Bennington,NE,68007,11/22/2022,161
0004,17605 Tucker Street,Bennington,NE,68007,11/22/2022,161
0004,17606 Clay Street,Bennington,NE,68007,4/13/2022,161
0001,17606 Samuel Street,Bennington,NE,68007,8/30/2022,161
0004,17613 Clay Street,Bennington,NE,68007,7/20/2022,161
0001,17614 Clay Street,Bennington,NE,68007,2/15/2022,161
0001,17614 Samuel Street,Bennington,NE,68007,8/11/2022,161
0004,17618 Clay Street,Bennington,NE,68007,2/3/2022,161
0004,17618 Clay Street,Bennington,NE,68007,2/3/2022,161
0001,17622 Clay Street,Bennington,NE,68007,6/3/2022,161
0005,17623 Clay Street,Bennington,NE,68007,7/7/2022,161
0004,17626 Clay Street,Bennington,NE,68007,6/1/2022,161
0001,17631 Clay Street,Bennington,NE,68007,8/4/2022,161
0001,19150 Bennington Road,Bennington,NE,68007,8/10/2022,332
0005,7006 N 162nd Street,Bennington,NE,68007,12/8/2022,161
0004,7007 Stargrass Road,Bennington,NE,68007,2/11/2022,450
0004,7007 Stargrass Road,Bennington,NE,68007,2/11/2022,450
0004,7119 N 163rd Street,Bennington,NE,68007,3/11/2022,262
0004,7135 North 172nd Street,Bennington,NE,68007,4/29/2022,232
0005,7295 North 172nd Street,Bennington,NE,68007,9/15/2022,488
0004,7302 Kilpatrick Parkway,Bennington,NE,68007,8/26/2022,89
0004,7318 North 164th Street,Bennington,NE,68007,7/5/2022,490
0001,7401 N 170th Street,Bennington,NE,68007,4/15/2022,450
0004,7420 North 169th Street,Bennington,NE,68007,3/18/2022,345
0001,7441 North 144th Avenue,Bennington,NE,68007,7/6/2022,429
0001,7441 North 144th Avenue,Bennington,NE,68007,7/6/2022,81
0001,7515 N 160th St,Bennington,NE,68007,7/29/2022,533
0004,7518 N 160th Street,Bennington,NE,68007,9/15/2022,365
0001,7630 N 167th Avenue,Bennington,NE,68007,2/2/2022,232
0001,7655 North 167th Street,Bennington,NE,68007,3/30/2022,232
0004,7664 N 167th Street,Bennington,NE,68007,4/1/2022,262
0003,7770 North 149th Street,Bennington,NE,68007,3/11/2022,289
0001,7803 N. 167th Street,Bennington,NE,68007,4/28/2022,232
0003,7819 North 151st Street,Bennington,NE,68007,10/5/2022,10056
0005,7902 N 149th Street,Bennington,NE,68007,4/8/2022,335
